[2020-08-18 23:20:02,822][INFO] Parameters: 25638992
[2020-08-18 23:20:02,846][INFO] Start training from epoch: 0, iter: 0
[2020-08-18 23:22:20,476][INFO] Parameters: 25638992
[2020-08-18 23:22:20,504][INFO] Start training from epoch: 0, iter: 0
[2020-08-18 23:23:21,586][INFO] Parameters: 25638992
[2020-08-18 23:23:21,613][INFO] Start training from epoch: 0, iter: 0
[2020-08-18 23:23:43,341][INFO] [epoch:0/20, steps:50/25432, lr:5.000e-05, loss:23.986] 
[2020-08-18 23:24:04,541][INFO] [epoch:0/20, steps:100/25432, lr:1.000e-04, loss:12.652] 
[2020-08-18 23:24:40,360][INFO] Parameters: 25638992
[2020-08-18 23:24:40,384][INFO] Start training from epoch: 0, iter: 0
[2020-08-18 23:25:01,852][INFO] [epoch:0/20, steps:50/25432, lr:5.000e-05, loss:23.986] 
[2020-08-18 23:25:22,757][INFO] [epoch:0/20, steps:100/25432, lr:1.000e-04, loss:12.652] 
[2020-08-18 23:27:22,019][INFO] Parameters: 25638992
[2020-08-18 23:27:22,041][INFO] Start training from epoch: 0, iter: 0
[2020-08-18 23:27:42,364][INFO] [epoch:0/20, steps:50/25432, lr:5.000e-05, loss:23.986] 
[2020-08-18 23:28:02,061][INFO] [epoch:0/20, steps:100/25432, lr:1.000e-04, loss:12.652] 
[2020-08-18 23:28:21,488][INFO] [epoch:0/20, steps:150/25432, lr:1.500e-04, loss:10.074] 
[2020-08-18 23:28:42,406][INFO] [epoch:0/20, steps:200/25432, lr:2.000e-04, loss:9.379] 
[2020-08-18 23:29:02,883][INFO] [epoch:0/20, steps:250/25432, lr:2.000e-04, loss:7.7613] 
[2020-08-18 23:29:23,336][INFO] [epoch:0/20, steps:300/25432, lr:2.000e-04, loss:7.3997] 
[2020-08-18 23:29:44,485][INFO] [epoch:0/20, steps:350/25432, lr:2.000e-04, loss:8.0552] 
[2020-08-18 23:30:05,177][INFO] [epoch:0/20, steps:400/25432, lr:2.000e-04, loss:7.9172] 
[2020-08-18 23:30:25,891][INFO] [epoch:0/20, steps:450/25432, lr:2.000e-04, loss:8.1831] 
[2020-08-18 23:30:47,152][INFO] [epoch:0/20, steps:500/25432, lr:2.000e-04, loss:8.0482] 
[2020-08-18 23:31:07,842][INFO] [epoch:0/20, steps:550/25432, lr:2.000e-04, loss:10.133] 
[2020-08-18 23:31:28,466][INFO] [epoch:0/20, steps:600/25432, lr:2.000e-04, loss:9.9577] 
[2020-08-18 23:31:49,681][INFO] [epoch:0/20, steps:650/25432, lr:2.000e-04, loss:9.6589] 
[2020-08-18 23:32:10,566][INFO] [epoch:0/20, steps:700/25432, lr:2.000e-04, loss:9.4617] 
[2020-08-18 23:32:31,476][INFO] [epoch:0/20, steps:750/25432, lr:2.000e-04, loss:9.0361] 
[2020-08-18 23:32:52,765][INFO] [epoch:0/20, steps:800/25432, lr:2.000e-04, loss:8.8706] 
[2020-08-18 23:33:13,529][INFO] [epoch:0/20, steps:850/25432, lr:2.000e-04, loss:10.225] 
[2020-08-18 23:33:34,060][INFO] [epoch:0/20, steps:900/25432, lr:2.000e-04, loss:10.151] 
[2020-08-18 23:33:55,067][INFO] [epoch:0/20, steps:950/25432, lr:2.000e-04, loss:9.6206] 
[2020-08-18 23:34:15,643][INFO] [epoch:0/20, steps:1000/25432, lr:2.000e-04, loss:9.6951] 
[2020-08-18 23:34:36,197][INFO] [epoch:0/20, steps:1050/25432, lr:2.000e-04, loss:8.7095] 
[2020-08-18 23:34:57,205][INFO] [epoch:0/20, steps:1100/25432, lr:2.000e-04, loss:8.6447] 
[2020-08-18 23:35:17,871][INFO] [epoch:0/20, steps:1150/25432, lr:2.000e-04, loss:8.9634] 
[2020-08-18 23:35:38,521][INFO] [epoch:0/20, steps:1200/25432, lr:2.000e-04, loss:8.8976] 
[2020-08-18 23:35:59,559][INFO] [epoch:0/20, steps:1250/25432, lr:2.000e-04, loss:9.01] 
[2020-08-18 23:37:12,520][INFO] [epoch:0 end, mean_acc:0.91238]
[2020-08-18 23:37:12,520][INFO] {'5_o_Clock_Shadow': 0.9324004630794785, 'Arched_Eyebrows': 0.8492474958473851, 'Attractive': 0.8101877485277093, 'Bags_Under_Eyes': 0.8363618060099662, 'Bald': 0.9878693310514924, 'Bangs': 0.95283636180601, 'Big_Lips': 0.8539789600845623, 'Big_Nose': 0.822570091105854, 'Black_Hair': 0.9098001711380681, 'Blond_Hair': 0.9503196255096391, 'Blurry': 0.9624502944581467, 'Brown_Hair': 0.8533749433734333, 'Bushy_Eyebrows': 0.9227361957014144, 'Chubby': 0.9513766547541148, 'Double_Chin': 0.9635073237026225, 'Eyeglasses': 0.995167866310968, 'Goatee': 0.9620979513766548, 'Gray_Hair': 0.9763930135400413, 'Heavy_Makeup': 0.9134242714048422, 'High_Cheekbones': 0.867569336084965, 'Male': 0.9819801681179846, 'Mouth_Slightly_Open': 0.9296320531534705, 'Mustache': 0.9541450646801228, 'Narrow_Eyes': 0.9283233502793578, 'No_Beard': 0.958020838576534, 'Oval_Face': 0.7538128554890019, 'Pale_Skin': 0.9644636834952434, 'Pointy_Nose': 0.7500377510444456, 'Receding_Hairline': 0.9436754416872201, 'Rosy_Cheeks': 0.9441284542205668, 'Sideburns': 0.9641616751396789, 'Smiling': 0.92691397795339, 'Straight_Hair': 0.826798208083757, 'Wavy_Hair': 0.8634922232848442, 'Wearing_Earrings': 0.9067297528564957, 'Wearing_Hat': 0.9887753561181859, 'Wearing_Lipstick': 0.9242965722051644, 'Wearing_Necklace': 0.880102682840892, 'Wearing_Necktie': 0.9590778678210097, 'Young': 0.8731061559369809}
[2020-08-18 23:37:25,186][INFO] [epoch:1/20, steps:1300/25432, lr:2.000e-04, loss:8.9344] 
[2020-08-18 23:37:46,120][INFO] [epoch:1/20, steps:1350/25432, lr:2.000e-04, loss:9.1125] 
[2020-08-18 23:38:07,034][INFO] [epoch:1/20, steps:1400/25432, lr:2.000e-04, loss:8.9213] 
[2020-08-18 23:38:28,530][INFO] [epoch:1/20, steps:1450/25432, lr:2.000e-04, loss:9.4504] 
[2020-08-18 23:38:49,255][INFO] [epoch:1/20, steps:1500/25432, lr:2.000e-04, loss:9.304] 
[2020-08-18 23:39:09,938][INFO] [epoch:1/20, steps:1550/25432, lr:2.000e-04, loss:9.4316] 
[2020-08-18 23:39:31,023][INFO] [epoch:1/20, steps:1600/25432, lr:2.000e-04, loss:9.2014] 
[2020-08-18 23:39:51,642][INFO] [epoch:1/20, steps:1650/25432, lr:2.000e-04, loss:9.5688] 
[2020-08-18 23:40:12,279][INFO] [epoch:1/20, steps:1700/25432, lr:2.000e-04, loss:9.5122] 
[2020-08-18 23:40:33,411][INFO] [epoch:1/20, steps:1750/25432, lr:2.000e-04, loss:9.7838] 
